code_region,region,departement,rang_vaccinal,date_debut_semaine,nb
84,ARA,01,1,2021-01-18,1694
84,ARA,01,1,2021-01-25,2014
84,ARA,01,2,2021-01-25,119
84,ARA,01,1,2021-02-01,2017
84,ARA,01,2,2021-02-01,1269
84,ARA,01,1,2021-02-08,2146
84,ARA,01,2,2021-02-08,1790
84,ARA,01,1,2021-02-15,2111
84,ARA,01,2,2021-02-15,1199
84,ARA,01,1,2021-02-22,2089
84,ARA,01,2,2021-02-22,2238
84,ARA,01,1,2021-03-01,2587
84,ARA,01,2,2021-03-01,1986
84,ARA,01,1,2021-03-08,3275
84,ARA,01,2,2021-03-08,2200
84,ARA,01,1,2021-03-15,5235
84,ARA,01,2,2021-03-15,1951
84,ARA,01,1,2021-03-22,6453
84,ARA,01,2,2021-03-22,1853
84,ARA,01,1,2021-03-29,6773
84,ARA,01,2,2021-03-29,2583
84,ARA,01,1,2021-04-05,11613
84,ARA,01,2,2021-04-05,3311
84,ARA,01,1,2021-04-12,11953
84,ARA,01,2,2021-04-12,6104
84,ARA,01,1,2021-04-19,10179
84,ARA,01,2,2021-04-19,6294
84,ARA,01,1,2021-04-26,6700
84,ARA,01,2,2021-04-26,7399
84,ARA,01,1,2021-05-03,3165
84,ARA,01,2,2021-05-03,11226
84,ARA,01,1,2021-05-10,1215
84,ARA,01,2,2021-05-10,10864
32,HDF,02,1,2021-01-18,3976
32,HDF,02,1,2021-01-25,1036
32,HDF,02,2,2021-01-25,350
32,HDF,02,1,2021-02-01,550
32,HDF,02,2,2021-02-01,1592
32,HDF,02,1,2021-02-08,1789
32,HDF,02,2,2021-02-08,2432
32,HDF,02,1,2021-02-15,2073
32,HDF,02,2,2021-02-15,2761
32,HDF,02,1,2021-02-22,2014
32,HDF,02,2,2021-02-22,915
32,HDF,02,1,2021-03-01,5829
32,HDF,02,2,2021-03-01,604
32,HDF,02,1,2021-03-08,5397
32,HDF,02,2,2021-03-08,1744
32,HDF,02,1,2021-03-15,6710
32,HDF,02,2,2021-03-15,1908
32,HDF,02,1,2021-03-22,6338
32,HDF,02,2,2021-03-22,2147
32,HDF,02,1,2021-03-29,6706
32,HDF,02,2,2021-03-29,4964
32,HDF,02,1,2021-04-05,7913
32,HDF,02,2,2021-04-05,4983
32,HDF,02,1,2021-04-12,6917
32,HDF,02,2,2021-04-12,6571
32,HDF,02,1,2021-04-19,4397
32,HDF,02,2,2021-04-19,5441
32,HDF,02,1,2021-04-26,2222
32,HDF,02,2,2021-04-26,5365
32,HDF,02,1,2021-05-03,901
32,HDF,02,2,2021-05-03,6188
32,HDF,02,1,2021-05-10,111
32,HDF,02,2,2021-05-10,4923
84,ARA,03,1,2021-01-18,4527
84,ARA,03,2,2021-01-18,3
84,ARA,03,1,2021-01-25,2673
84,ARA,03,2,2021-01-25,82
84,ARA,03,1,2021-02-01,2037
84,ARA,03,2,2021-02-01,624
84,ARA,03,1,2021-02-08,2218
84,ARA,03,2,2021-02-08,773
84,ARA,03,1,2021-02-15,1929
84,ARA,03,2,2021-02-15,4537
84,ARA,03,1,2021-02-22,2162
84,ARA,03,2,2021-02-22,3650
84,ARA,03,1,2021-03-01,3808
84,ARA,03,2,2021-03-01,2542
84,ARA,03,1,2021-03-08,3276
84,ARA,03,2,2021-03-08,2457
84,ARA,03,1,2021-03-15,4618
84,ARA,03,2,2021-03-15,1258
84,ARA,03,1,2021-03-22,5784
84,ARA,03,2,2021-03-22,1765
84,ARA,03,1,2021-03-29,4413
84,ARA,03,2,2021-03-29,3150
84,ARA,03,1,2021-04-05,5404
84,ARA,03,2,2021-04-05,2422
84,ARA,03,1,2021-04-12,7505
84,ARA,03,2,2021-04-12,4894
84,ARA,03,1,2021-04-19,4746
84,ARA,03,2,2021-04-19,5836
84,ARA,03,1,2021-04-26,1356
84,ARA,03,2,2021-04-26,4657
84,ARA,03,1,2021-05-03,550
84,ARA,03,2,2021-05-03,5539
84,ARA,03,1,2021-05-10,304
84,ARA,03,2,2021-05-10,6196
93,PAC,04,1,2021-01-18,1788
93,PAC,04,2,2021-01-18,5
93,PAC,04,1,2021-01-25,1866
93,PAC,04,2,2021-01-25,32
93,PAC,04,1,2021-02-01,1681
93,PAC,04,2,2021-02-01,186
93,PAC,04,1,2021-02-08,1281
93,PAC,04,2,2021-02-08,650
93,PAC,04,1,2021-02-15,158
93,PAC,04,2,2021-02-15,1740
93,PAC,04,1,2021-02-22,74
93,PAC,04,2,2021-02-22,1968
93,PAC,04,1,2021-03-01,856
93,PAC,04,2,2021-03-01,1595
93,PAC,04,1,2021-03-08,1757
93,PAC,04,2,2021-03-08,1219
93,PAC,04,1,2021-03-15,1834
93,PAC,04,2,2021-03-15,80
93,PAC,04,1,2021-03-22,2669
93,PAC,04,2,2021-03-22,98
93,PAC,04,1,2021-03-29,4313
93,PAC,04,2,2021-03-29,334
93,PAC,04,1,2021-04-05,2347
93,PAC,04,2,2021-04-05,1779
93,PAC,04,1,2021-04-12,3478
93,PAC,04,2,2021-04-12,1674
93,PAC,04,1,2021-04-19,2441
93,PAC,04,2,2021-04-19,2519
93,PAC,04,1,2021-04-26,1055
93,PAC,04,2,2021-04-26,3840
93,PAC,04,1,2021-05-03,1224
93,PAC,04,2,2021-05-03,2794
93,PAC,04,1,2021-05-10,354
93,PAC,04,2,2021-05-10,1748
93,PAC,05,1,2021-01-18,977
93,PAC,05,1,2021-01-25,1154
93,PAC,05,2,2021-01-25,55
93,PAC,05,1,2021-02-01,931
93,PAC,05,2,2021-02-01,244
93,PAC,05,1,2021-02-08,501
93,PAC,05,2,2021-02-08,675
93,PAC,05,1,2021-02-15,427
93,PAC,05,2,2021-02-15,760
93,PAC,05,1,2021-02-22,122
93,PAC,05,2,2021-02-22,1070
93,PAC,05,1,2021-03-01,1448
93,PAC,05,2,2021-03-01,862
93,PAC,05,1,2021-03-08,2188
93,PAC,05,2,2021-03-08,508
93,PAC,05,1,2021-03-15,1167
93,PAC,05,2,2021-03-15,442
93,PAC,05,1,2021-03-22,3009
93,PAC,05,2,2021-03-22,121
93,PAC,05,1,2021-03-29,3603
93,PAC,05,2,2021-03-29,1000
93,PAC,05,1,2021-04-05,2555
93,PAC,05,2,2021-04-05,1663
93,PAC,05,1,2021-04-12,3216
93,PAC,05,2,2021-04-12,1466
93,PAC,05,1,2021-04-19,1275
93,PAC,05,2,2021-04-19,3004
93,PAC,05,1,2021-04-26,241
93,PAC,05,2,2021-04-26,3277
93,PAC,05,1,2021-05-03,344
93,PAC,05,2,2021-05-03,2911
93,PAC,05,1,2021-05-10,181
93,PAC,05,2,2021-05-10,2579
93,PAC,06,1,2021-01-18,12237
93,PAC,06,2,2021-01-18,10
93,PAC,06,1,2021-01-25,8654
93,PAC,06,2,2021-01-25,836
93,PAC,06,1,2021-02-01,3911
93,PAC,06,2,2021-02-01,2598
93,PAC,06,1,2021-02-08,936
93,PAC,06,2,2021-02-08,4929
93,PAC,06,1,2021-02-15,2665
93,PAC,06,2,2021-02-15,11459
93,PAC,06,1,2021-02-22,8996
93,PAC,06,2,2021-02-22,8189
93,PAC,06,1,2021-03-01,20065
93,PAC,06,2,2021-03-01,3938
93,PAC,06,1,2021-03-08,23899
93,PAC,06,2,2021-03-08,695
93,PAC,06,1,2021-03-15,14836
93,PAC,06,2,2021-03-15,2024
93,PAC,06,1,2021-03-22,14184
93,PAC,06,2,2021-03-22,7139
93,PAC,06,1,2021-03-29,17824
93,PAC,06,2,2021-03-29,16446
93,PAC,06,1,2021-04-05,21759
93,PAC,06,2,2021-04-05,20086
93,PAC,06,1,2021-04-12,15092
93,PAC,06,2,2021-04-12,11434
93,PAC,06,1,2021-04-19,5774
93,PAC,06,2,2021-04-19,9611
93,PAC,06,1,2021-04-26,1335
93,PAC,06,2,2021-04-26,11644
93,PAC,06,1,2021-05-03,573
93,PAC,06,2,2021-05-03,14168
93,PAC,06,1,2021-05-10,65
93,PAC,06,2,2021-05-10,9249
84,ARA,07,1,2021-01-18,678
84,ARA,07,2,2021-01-18,1
84,ARA,07,1,2021-01-25,761
84,ARA,07,2,2021-01-25,64
84,ARA,07,1,2021-02-01,1233
84,ARA,07,2,2021-02-01,364
84,ARA,07,1,2021-02-08,1442
84,ARA,07,2,2021-02-08,544
84,ARA,07,1,2021-02-15,1614
84,ARA,07,2,2021-02-15,641
84,ARA,07,1,2021-02-22,2101
84,ARA,07,2,2021-02-22,1128
84,ARA,07,1,2021-03-01,2278
84,ARA,07,2,2021-03-01,1486
84,ARA,07,1,2021-03-08,2854
84,ARA,07,2,2021-03-08,1473
84,ARA,07,1,2021-03-15,4289
84,ARA,07,2,2021-03-15,1477
84,ARA,07,1,2021-03-22,4498
84,ARA,07,2,2021-03-22,1972
84,ARA,07,1,2021-03-29,4867
84,ARA,07,2,2021-03-29,2001
84,ARA,07,1,2021-04-05,5028
84,ARA,07,2,2021-04-05,2527
84,ARA,07,1,2021-04-12,5774
84,ARA,07,2,2021-04-12,4105
84,ARA,07,1,2021-04-19,5186
84,ARA,07,2,2021-04-19,4380
84,ARA,07,1,2021-04-26,4091
84,ARA,07,2,2021-04-26,4731
84,ARA,07,1,2021-05-03,1345
84,ARA,07,2,2021-05-03,5028
84,ARA,07,1,2021-05-10,537
84,ARA,07,2,2021-05-10,4485
44,GES,08,1,2021-01-18,1739
44,GES,08,2,2021-01-18,3
44,GES,08,1,2021-01-25,1564
44,GES,08,2,2021-01-25,62
44,GES,08,1,2021-02-01,973
44,GES,08,2,2021-02-01,559
44,GES,08,1,2021-02-08,1311
44,GES,08,2,2021-02-08,1091
44,GES,08,1,2021-02-15,700
44,GES,08,2,2021-02-15,1817
44,GES,08,1,2021-02-22,461
44,GES,08,2,2021-02-22,1952
44,GES,08,1,2021-03-01,2095
44,GES,08,2,2021-03-01,1111
44,GES,08,1,2021-03-08,2502
44,GES,08,2,2021-03-08,1082
44,GES,08,1,2021-03-15,3191
44,GES,08,2,2021-03-15,494
44,GES,08,1,2021-03-22,4192
44,GES,08,2,2021-03-22,326
44,GES,08,1,2021-03-29,3977
44,GES,08,2,2021-03-29,2176
44,GES,08,1,2021-04-05,4551
44,GES,08,2,2021-04-05,2376
44,GES,08,1,2021-04-12,4627
44,GES,08,2,2021-04-12,3186
44,GES,08,1,2021-04-19,4169
44,GES,08,2,2021-04-19,4047
44,GES,08,1,2021-04-26,1463
44,GES,08,2,2021-04-26,3930
44,GES,08,1,2021-05-03,1062
44,GES,08,2,2021-05-03,4775
44,GES,08,1,2021-05-10,780
44,GES,08,2,2021-05-10,3546
76,OCC,09,1,2021-01-18,1825
76,OCC,09,1,2021-01-25,1226
76,OCC,09,2,2021-01-25,235
76,OCC,09,1,2021-02-01,416
76,OCC,09,2,2021-02-01,808
76,OCC,09,1,2021-02-08,217
76,OCC,09,2,2021-02-08,1260
76,OCC,09,1,2021-02-15,353
76,OCC,09,2,2021-02-15,1339
76,OCC,09,1,2021-02-22,665
76,OCC,09,2,2021-02-22,936
76,OCC,09,1,2021-03-01,1315
76,OCC,09,2,2021-03-01,361
76,OCC,09,1,2021-03-08,1825
76,OCC,09,2,2021-03-08,83
76,OCC,09,1,2021-03-15,2278
