;feature_importance
covidpostestprevday;0.3165511638042685
hospiprevday;0.276771111419266
o31Mavg;0.047762079528961505
1MMaxno2;0.04750261594585756
Insuffisance respiratoire chronique grave (ALD14);0.03518133829194688
idx;0.033430300090808024
all_day_ratio_single_tile_users;0.031213977849785406
Insuffisance cardiaque grave, troubles du rythme graves, cardiopathies valvulaires graves, cardiopathies congénitales graves (ALD5);0.03061756178714315
1MMaxo3;0.021130882741013324
minority;0.01961787960508651
co1Mavg;0.014104317598744595
1MMaxco;0.013924036611016068
co7davg;0.01169165284359114
all_day_bing_tiles_visited_relative_change;0.01003738470783849
pm251Mavg;0.009235665681297037
no21Mavg;0.007991096666255684
pm101Mavg;0.007506779239635313
Nb_susp_501Y_V1;0.007378791698358469
1MMaxpm25;0.007044701454086375
o37davg;0.005339357685473165
1MMaxpm10;0.005224012075100555
vac2nb;0.00510092120069104
co;0.004833949191790708
o3;0.004320686388211605
pm257davg;0.004158848396219564
no27davg;0.004157590736873596
pm10;0.0038142711589901363
no2;0.003669044835255246
pm107davg;0.0030647625639890273
pm25;0.002969454115823366
vac1nb;0.002009463531351669
Smokers;0.001559181514906433
Nb_susp_501Y_V2_3;0.0010851190403637363
