;feature_importance
newhospi;0.6092088552584646
hospi;0.128359859629334
CovidPosTest;0.12150509760087487
all_day_ratio_single_tile_users;0.040171286840445346
all_day_bing_tiles_visited_relative_change;0.01748015491660934
co7davg;0.016665218508180448
1MMaxco;0.00929180450327705
co1Mavg;0.008360864875685159
minority;0.005720711261052021
Nb_susp_501Y_V1;0.005264987515842784
1MMaxo3;0.005014119889878087
idx;0.004664648129024976
1MMaxpm25;0.0039818478085562005
vac2nb;0.0035897929897999686
Insuffisance respiratoire chronique grave (ALD14);0.0033049563902288422
ouvriers;0.0028382705567706625
Insuffisance cardiaque grave, troubles du rythme graves, cardiopathies valvulaires graves, cardiopathies congénitales graves (ALD5);0.0028251794201089313
rsa;0.0026077129138486893
Nb_susp_501Y_V2_3;0.002545531834833262
vac1nb;0.002501443694498539
Smokers;0.0020915669922427628
pauvrete;0.0020060884704433467
