;feature_importance
covidpostestprevday;0.36505281925201416
hospiprevday;0.23384398221969604
o37davg;0.04032502695918083
all_day_ratio_single_tile_users;0.030576949939131737
Nb_susp_501Y_V2_3;0.025242166593670845
Nb_susp_501Y_V1;0.02466594986617565
vac1nb;0.02327916957437992
1MMaxpm25;0.0187444519251585
vac2nb;0.01757972314953804
1MMaxo3;0.0171242393553257
co1Mavg;0.015161452814936638
1MMaxco;0.013646120205521584
Smokers;0.013551966287195683
o31Mavg;0.012336376123130322
Insuffisance respiratoire chronique grave (ALD14);0.010257232934236526
1MMaxno2;0.010218321345746517
co7davg;0.010079371742904186
no27davg;0.009754190221428871
pm257davg;0.009564505890011787
pm107davg;0.009217692539095879
minority;0.00910646840929985
pm10;0.008980030193924904
Insuffisance cardiaque grave, troubles du rythme graves, cardiopathies valvulaires graves, cardiopathies congénitales graves (ALD5);0.008865310810506344
all_day_bing_tiles_visited_relative_change;0.007946680299937725
no21Mavg;0.007542281411588192
1MMaxpm10;0.007334379944950342
pm101Mavg;0.007215249817818403
pm251Mavg;0.0066570681519806385
idx;0.0064037456177175045
co;0.006176476366817951
o3;0.0054834699258208275
no2;0.004248857963830233
pm25;0.0038183806464076042
