;feature_importance
newhospi;0.5975136160850525
hospi;0.08348965644836426
CovidPosTest;0.044365547597408295
all_day_ratio_single_tile_users;0.020430251955986023
Insuffisance respiratoire chronique grave (ALD14);0.016083436086773872
Nb_susp_501Y_V1;0.014205396175384521
Insuffisance cardiaque grave, troubles du rythme graves, cardiopathies valvulaires graves, cardiopathies congénitales graves (ALD5);0.012681170366704464
1MMaxo3;0.011939655058085918
vac2nb;0.010159472934901714
1MMaxco;0.009879332967102528
vac1nb;0.009584728628396988
all_day_bing_tiles_visited_relative_change;0.009019261226058006
co7davg;0.008644267916679382
Nb_susp_501Y_V2_3;0.008485500700771809
ouvriers;0.007493576966226101
so2;0.007170269265770912
co1Mavg;0.00698136817663908
so21Mavg;0.006923811510205269
1MMaxno2;0.006873978301882744
minority;0.006585587281733751
idx;0.006562958471477032
no21Mavg;0.005843937397003174
1MMaxso2;0.0056249238550662994
o31Mavg;0.005438614636659622
pm251Mavg;0.005399574991315603
pm101Mavg;0.005319009069353342
1MMaxpm25;0.0053164721466600895
rsa;0.005281681660562754
o37davg;0.004976106341928244
pauvrete;0.004966146778315306
pm10;0.0049395374953746796
no27davg;0.004815669264644384
pm107davg;0.004733148962259293
Smokers;0.004671116359531879
1MMaxpm10;0.004667547531425953
o3;0.0043381592258811
co;0.00407860754057765
pm257davg;0.003801851999014616
so27davg;0.0037801945582032204
no2;0.003523691324517131
pm25;0.0034112154971808195
